time,value
2008022913,15.8
2008022914,15.1
2008022915,14.1
2008022916,15.7
2008022917,14.3
2008022918,13.8
2008022919,13.8
2008022920,13.3
2008022921,13.5
2008022922,14.2
2008022923,13.4
2008030100,14.4
2008030101,14.2
2008030102,15.3
2008030103,14.2
2008030104,15.6
2008030105,15.9
2008030106,16.4
2008030107,16.5
2008030108,17.2
2008030109,16.5
2008030110,16.8
2008030111,17.6
2008030112,17.2
2008030113,16.4
2008030114,16.5
2008030115,16.1
2008030116,17.3
2008030117,17.0
2008030118,18.2
2008030119,16.3
2008030120,15.0
2008030121,15.7
2008030122,14.7
2008030123,17.4
2008030200,15.8
2008030201,15.1
2008030202,14.8
2008030203,14.5
2008030204,15.9
2008030205,16.6
2008030206,16.6
2008030207,15.4
2008030208,16.5
2008030209,17.9
2008030210,15.9
2008030211,17.2
2008030212,16.9
2008030213,17.6
2008030214,17.0
2008030215,17.4
2008030216,18.7
2008030217,19.6
2008030218,19.4
2008030219,17.2
2008030220,19.2
2008030221,18.7
2008030222,18.5
2008030223,18.0
2008030300,19.2
2008030301,18.5
2008030302,18.1
2008030303,18.4
2008030304,18.8
2008030305,20.1
2008030306,19.5
2008030307,20.0
2008030308,20.3
2008030309,20.1
2008030310,18.6
2008030311,20.6
2008030312,18.5
2008030313,20.0
2008030314,20.2
2008030315,18.4
2008030316,18.5
2008030317,18.7
2008030318,19.3
2008030319,18.0
2008030320,18.0
2008030321,16.8
2008030322,17.9
2008030323,16.8
2008030400,18.4
2008030401,17.5
2008030402,19.0
2008030403,18.1
2008030404,18.2
2008030405,16.7
2008030406,18.3
2008030407,18.4
2008030408,18.9
2008030409,20.2
2008030410,19.9
2008030411,17.6
2008030412,18.5
2008030413,19.3
2008030414,18.4
2008030415,19.0
2008030416,18.1
2008030417,18.4
2008030418,16.1
2008030419,17.6
2008030420,16.1
2008030421,15.6
2008030422,16.4
2008030423,15.7
2008030500,16.5
2008030501,15.8
2008030502,16.1
2008030503,15.9
2008030504,17.2
2008030505,17.8
2008030506,16.6
2008030507,18.2
2008030508,20.0
2008030509,18.6
2008030510,20.7
2008030511,21.1
2008030512,19.7
2008030513,21.2
2008030514,20.5
2008030515,20.2
2008030516,20.2
